,code,emotion
0,E10,분노
1,E11,툴툴대는
2,E12,좌절한
3,E13,짜증내는
4,E14,방어적인
5,E15,악의적인
6,E16,안달하는
7,E17,구역질나는
8,E18,노여워하는
9,E19,성가신
10,E20,슬픔
11,E21,실망한
12,E22,비통한
13,E23,후회되는
14,E24,우울한
15,E25,마비된
16,E26,염세적인
17,E27,눈물이나는
18,E28,낙담한
19,E29,환멸을느끼는
20,E30,불안
21,E31,두려운
22,E32,스트레스받는
23,E33,취약한
24,E34,혼란스러운
25,E35,당혹스러운
26,E36,회의적인
27,E37,걱정스러운
28,E38,조심스러운
29,E39,초조한
30,E40,상처
31,E41,질투하는
32,E42,배신당한
33,E43,고립된
34,E44,충격받은
35,E45,가난하고불우한
36,E46,희생된
37,E47,억울한
38,E48,괴로워하는
39,E49,버려진
40,E50,당황
41,E51,고립되고당황한
42,E52,남의시선을의식하는
43,E53,외로운
44,E54,열등감
45,E55,죄책감의
46,E56,부끄러운
47,E57,혐오스러운
48,E58,한심한
49,E59,혼란스럽고당황한
50,E60,기쁨
51,E61,감사하는
52,E62,신뢰하는
53,E63,편안한
54,E64,만족스러운
55,E65,흥분
56,E66,느긋
57,E67,안도
58,E68,신이난
59,E69,자신있는
